id_oferta,empresa,localidad,sector,titulo,descripcion,salario,fecha_alta,fecha_limite,estado
1,Devpulse,Cullhuas,Capital Goods,Internal Auditor,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",5784,3/18/2020,9/9/2020,false
2,Quatz,Huiyuan,Public Utilities,Actuary,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,5843,3/6/2020,10/27/2019,true
3,Twimbo,Sittwe,Public Utilities,Payment Adjustment Coordinator,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",9608,12/22/2019,1/11/2020,true
4,Edgeclub,Chernogorsk,Health Care,Automation Specialist IV,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",9747,7/26/2020,9/12/2019,true
5,Buzzshare,Shitan,Finance,Pharmacist,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",1691,8/8/2020,7/10/2020,false
6,Oyonder,Yuezhao,Consumer Services,Budget/Accounting Analyst IV,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",4232,10/24/2019,11/7/2019,false
7,Trupe,Issoudun,Finance,Account Executive,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",9349,12/5/2019,2/22/2020,true
8,Blogtags,Obo,Finance,Civil Engineer,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",897,5/6/2020,5/2/2020,true
9,Blogspan,Manchester,n/a,Graphic Designer,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",7804,6/27/2020,12/19/2019,true
10,Twimm,Korsakovo,n/a,Dental Hygienist,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",9056,7/27/2020,3/24/2020,true
